battery,feature,horizon,metric,value,rmse,alpha,history_length,n_test
CS2_36,B_HF456_median_indicators,8,MAE,0.01755511813423324,0.05298669345283042,0.1,1,965
CS2_36,B_HF456_median_indicators,8,MAE,0.017641368912883298,0.053120644716511345,1.0,1,965
CS2_36,B_HF456_median_indicators,8,MAE,0.017532126900609204,0.053144933591005375,10.0,1,965
CS2_36,B_HF456_median_indicators,8,MAE,0.017538257674019786,0.053299063330657426,100.0,1,965
CS2_37,B_HF456_median_indicators,8,MAE,0.015129009969921774,0.03985322505191755,0.01,1,1030
CS2_37,B_HF456_median_indicators,8,MAE,0.015025923992714596,0.03997255866413642,0.1,1,1030
CS2_37,B_HF456_median_indicators,8,MAE,0.015051420222175284,0.04008447568514058,1.0,1,1030
CS2_37,B_HF456_median_indicators,8,MAE,0.015047681693292203,0.04018340756264647,10.0,1,1030
CS2_37,B_HF456_median_indicators,8,MAE,0.015623278187616446,0.04085817547894815,100.0,1,1030
CS2_38,B_HF456_median_indicators,8,MAE,0.01613197896260507,0.0448323411668914,0.01,1,1020
CS2_38,B_HF456_median_indicators,8,MAE,0.015192400143541581,0.04428214269024685,0.1,1,1020
CS2_38,B_HF456_median_indicators,8,MAE,0.014994145783551904,0.04415372820529545,1.0,1,1020
CS2_38,B_HF456_median_indicators,8,MAE,0.01490398630487488,0.04413897444466116,10.0,1,1020
CS2_38,B_HF456_median_indicators,8,MAE,0.01643202264071526,0.04469817813773401,100.0,1,1020
CS2_35,B_missing_mask_only,8,MAE,0.017883654453901988,0.0355728517723492,0.01,1,874
CS2_35,B_missing_mask_only,8,MAE,0.017884794263835695,0.035573613015617046,0.1,1,874
CS2_35,B_missing_mask_only,8,MAE,0.01789618675367091,0.03558128047363344,1.0,1,874
CS2_35,B_missing_mask_only,8,MAE,0.01802294762805476,0.035663352316267063,10.0,1,874
CS2_35,B_missing_mask_only,8,MAE,0.019660511498243164,0.036927899741736284,100.0,1,874
CS2_36,B_missing_mask_only,8,MAE,0.020483120450375984,0.06636330681713935,0.01,1,965
CS2_36,B_missing_mask_only,8,MAE,0.020485235711579116,0.06636299853503096,0.1,1,965
CS2_36,B_missing_mask_only,8,MAE,0.020506774111730238,0.06635994619723436,1.0,1,965
CS2_36,B_missing_mask_only,8,MAE,0.02074030089739257,0.06633620642829643,10.0,1,965
CS2_36,B_missing_mask_only,8,MAE,0.024471383241352142,0.06677851040169415,100.0,1,965
CS2_37,B_missing_mask_only,8,MAE,0.018078322107213385,0.052960246006403366,0.01,1,1030
CS2_37,B_missing_mask_only,8,MAE,0.018080046588677415,0.052960588208482214,0.1,1,1030
CS2_37,B_missing_mask_only,8,MAE,0.018097764086149583,0.052964124102931186,1.0,1,1030
CS2_37,B_missing_mask_only,8,MAE,0.018300590616757855,0.053007316597231485,10.0,1,1030
CS2_37,B_missing_mask_only,8,MAE,0.021463724259013783,0.054023759759865765,100.0,1,1030
CS2_38,B_missing_mask_only,8,MAE,0.019429790562287358,0.058607169197192756,0.01,1,1020
CS2_38,B_missing_mask_only,8,MAE,0.01943040738854851,0.05860647247661269,0.1,1,1020
CS2_38,B_missing_mask_only,8,MAE,0.01943807698335644,0.05859952240217376,1.0,1,1020
CS2_38,B_missing_mask_only,8,MAE,0.019628442228105926,0.05854403784227158,10.0,1,1020
CS2_38,B_missing_mask_only,8,MAE,0.02454384345212414,0.059412061903563934,100.0,1,1020
CS2_35,C_complete_case_HF456,8,MAE,0.011375153704744881,0.020314312932599995,0.01,1,572
CS2_35,C_complete_case_HF456,8,MAE,0.011322119364038638,0.02028850184738541,0.1,1,572
CS2_35,C_complete_case_HF456,8,MAE,0.011219636143924247,0.020255007157666243,1.0,1,572
CS2_35,C_complete_case_HF456,8,MAE,0.011130753523778023,0.020305082740306027,10.0,1,572
